solar,lunarYear,lunarMonth,lunarDay
01/01/19,2018,11,26
01/02/19,2018,11,27
01/03/19,2018,11,28
01/04/19,2018,11,29
01/05/19,2018,11,30
01/06/19,2018,12,01
01/07/19,2018,12,2
01/08/19,2018,12,3
01/09/19,2018,12,4
01/10/19,2018,12,5
01/11/19,2018,12,6
01/12/19,2018,12,7
01/13/19,2018,12,8
01/14/19,2018,12,9
01/15/19,2018,12,10
01/16/19,2018,12,11
01/17/19,2018,12,12
01/18/19,2018,12,13
01/19/19,2018,12,14
01/20/19,2018,12,15
01/21/19,2018,12,16
01/22/19,2018,12,17
01/23/19,2018,12,18
01/24/19,2018,12,19
01/25/19,2018,12,20
01/26/19,2018,12,21
01/27/19,2018,12,22
01/28/19,2018,12,23
01/29/19,2018,12,24
01/30/19,2018,12,25
01/31/19,2018,12,26
02/01/19,2018,12,27
02/02/19,2018,12,28
02/03/19,2018,12,29
02/04/19,2018,12,30
02/05/19,2019,1,1
02/06/19,2019,1,2
02/07/19,2019,1,3
02/08/19,2019,1,4
02/09/19,2019,1,5
02/10/19,2019,1,6
02/11/19,2019,1,7
02/12/19,2019,1,8
02/13/19,2019,1,9
02/14/19,2019,1,10
02/15/19,2019,1,11
02/16/19,2019,1,12
02/17/19,2019,1,13
02/18/19,2019,1,14
02/19/19,2019,1,15
02/20/19,2019,1,16
02/21/19,2019,1,17
02/22/19,2019,1,18
02/23/19,2019,1,19
02/24/19,2019,1,20
02/25/19,2019,1,21
02/26/19,2019,1,22
02/27/19,2019,1,23
02/28/19,2019,1,24
03/01/19,2019,1,25
03/02/19,2019,1,26
03/03/19,2019,1,27
03/04/19,2019,1,28
03/05/19,2019,1,29
03/06/19,2019,1,30
03/07/19,2019,2,1
03/08/19,2019,2,2
03/09/19,2019,2,3
03/10/19,2019,2,4
03/11/19,2019,2,5
03/12/19,2019,2,6
03/13/19,2019,2,7
03/14/19,2019,2,8
03/15/19,2019,2,9
03/16/19,2019,2,10
03/17/19,2019,2,11
03/18/19,2019,2,12
03/19/19,2019,2,13
03/20/19,2019,2,14
03/21/19,2019,2,15
03/22/19,2019,2,16
03/23/19,2019,2,17
03/24/19,2019,2,18
03/25/19,2019,2,19
03/26/19,2019,2,20
03/27/19,2019,2,21
03/28/19,2019,2,22
03/29/19,2019,2,23
03/30/19,2019,2,24
03/31/19,2019,2,25
04/01/19,2019,2,26
04/02/19,2019,2,27
04/03/19,2019,2,28
04/04/19,2019,2,29
04/05/19,2019,3,1
04/06/19,2019,3,2
04/07/19,2019,3,3
04/08/19,2019,3,4
04/09/19,2019,3,5
04/10/19,2019,3,6
04/11/19,2019,3,7
04/12/19,2019,3,8
04/13/19,2019,3,9
04/14/19,2019,3,10
04/15/19,2019,3,11
04/16/19,2019,3,12
04/17/19,2019,3,13
04/18/19,2019,3,14
04/19/19,2019,3,15
04/20/19,2019,3,16
04/21/19,2019,3,17
04/22/19,2019,3,18
04/23/19,2019,3,19
04/24/19,2019,3,20
04/25/19,2019,3,21
04/26/19,2019,3,22
04/27/19,2019,3,23
04/28/19,2019,3,24
04/29/19,2019,3,25
04/30/19,2019,3,26
05/01/19,2019,3,27
05/02/19,2019,3,28
05/03/19,2019,3,29
05/04/19,2019,3,30
05/05/19,2019,4,1
05/06/19,2019,4,2
05/07/19,2019,4,3
05/08/19,2019,4,4
05/09/19,2019,4,5
05/10/19,2019,4,6
05/11/19,2019,4,7
05/12/19,2019,4,8
05/13/19,2019,4,9
05/14/19,2019,4,10
05/15/19,2019,4,11
05/16/19,2019,4,12
05/17/19,2019,4,13
05/18/19,2019,4,14
05/19/19,2019,4,15
05/20/19,2019,4,16
05/21/19,2019,4,17
05/22/19,2019,4,18
05/23/19,2019,4,19
05/24/19,2019,4,20
05/25/19,2019,4,21
05/26/19,2019,4,22
05/27/19,2019,4,23
05/28/19,2019,4,24
05/29/19,2019,4,25
05/30/19,2019,4,26
05/31/19,2019,4,27
06/01/19,2019,4,28
06/02/19,2019,4,29
06/03/19,2019,5,1
06/04/19,2019,5,2
06/05/19,2019,5,3
06/06/19,2019,5,4
06/07/19,2019,5,5
06/08/19,2019,5,6
06/09/19,2019,5,7
06/10/19,2019,5,8
06/11/19,2019,5,9
06/12/19,2019,5,10
06/13/19,2019,5,11
06/14/19,2019,5,12
06/15/19,2019,5,13
06/16/19,2019,5,14
06/17/19,2019,5,15
06/18/19,2019,5,16
06/19/19,2019,5,17
06/20/19,2019,5,18
06/21/19,2019,5,19
06/22/19,2019,5,20
06/23/19,2019,5,21
06/24/19,2019,5,22
06/25/19,2019,5,23
06/26/19,2019,5,24
06/27/19,2019,5,25
06/28/19,2019,5,26
06/29/19,2019,5,27
06/30/19,2019,5,28
07/01/19,2019,5,29
07/02/19,2019,5,30
07/03/19,2019,6,1
07/04/19,2019,6,2
07/05/19,2019,6,3
07/06/19,2019,6,4
07/07/19,2019,6,5
07/08/19,2019,6,6
07/09/19,2019,6,7
07/10/19,2019,6,8
07/11/19,2019,6,9
07/12/19,2019,6,10
07/13/19,2019,6,11
07/14/19,2019,6,12
07/15/19,2019,6,13
07/16/19,2019,6,14
07/17/19,2019,6,15
07/18/19,2019,6,16
07/19/19,2019,6,17
07/20/19,2019,6,18
07/21/19,2019,6,19
07/22/19,2019,6,20
07/23/19,2019,6,21
07/24/19,2019,6,22
07/25/19,2019,6,23
07/26/19,2019,6,24
07/27/19,2019,6,25
07/28/19,2019,6,26
07/29/19,2019,6,27
07/30/19,2019,6,28
07/31/19,2019,6,29
08/01/19,2019,7,1
08/02/19,2019,7,2
08/03/19,2019,7,3
08/04/19,2019,7,4
08/05/19,2019,7,5
08/06/19,2019,7,6
08/07/19,2019,7,7
08/08/19,2019,7,8
08/09/19,2019,7,9
08/10/19,2019,7,10
08/11/19,2019,7,11
08/12/19,2019,7,12
08/13/19,2019,7,13
08/14/19,2019,7,14
08/15/19,2019,7,15
08/16/19,2019,7,16
08/17/19,2019,7,17
08/18/19,2019,7,18
08/19/19,2019,7,19
08/20/19,2019,7,20
08/21/19,2019,7,21
08/22/19,2019,7,22
08/23/19,2019,7,23
08/24/19,2019,7,24
08/25/19,2019,7,25
08/26/19,2019,7,26
08/27/19,2019,7,27
08/28/19,2019,7,28
08/29/19,2019,7,29
08/30/19,2019,8,1
08/31/19,2019,8,2
09/01/19,2019,8,3
09/02/19,2019,8,4
09/03/19,2019,8,5
09/04/19,2019,8,6
09/05/19,2019,8,7
09/06/19,2019,8,8
09/07/19,2019,8,9
09/08/19,2019,8,10
09/09/19,2019,8,11
09/10/19,2019,8,12
09/11/19,2019,8,13
09/12/19,2019,8,14
09/13/19,2019,8,15
09/14/19,2019,8,16
09/15/19,2019,8,17
09/16/19,2019,8,18
09/17/19,2019,8,19
09/18/19,2019,8,20
09/19/19,2019,8,21
09/20/19,2019,8,22
09/21/19,2019,8,23
09/22/19,2019,8,24
09/23/19,2019,8,25
09/24/19,2019,8,26
09/25/19,2019,8,27
09/26/19,2019,8,28
09/27/19,2019,8,29
09/28/19,2019,8,30
09/29/19,2019,9,1
09/30/19,2019,9,2
10/01/19,2019,9,3
10/02/19,2019,9,4
10/03/19,2019,9,5
10/04/19,2019,9,6
10/05/19,2019,9,7
10/06/19,2019,9,8
10/07/19,2019,9,9
10/08/19,2019,9,10
10/09/19,2019,9,11
10/10/19,2019,9,12
10/11/19,2019,9,13
10/12/19,2019,9,14
10/13/19,2019,9,15
10/14/19,2019,9,16
10/15/19,2019,9,17
10/16/19,2019,9,18
10/17/19,2019,9,19
10/18/19,2019,9,20
10/19/19,2019,9,21
10/20/19,2019,9,22
10/21/19,2019,9,23
10/22/19,2019,9,24
10/23/19,2019,9,25
10/24/19,2019,9,26
10/25/19,2019,9,27
10/26/19,2019,9,28
10/27/19,2019,9,29
10/28/19,2019,10,1
10/29/19,2019,10,2
10/30/19,2019,10,3
10/31/19,2019,10,4
11/01/19,2019,10,5
11/02/19,2019,10,6
11/03/19,2019,10,7
11/04/19,2019,10,8
11/05/19,2019,10,9
11/06/19,2019,10,10
11/07/19,2019,10,11
11/08/19,2019,10,12
11/09/19,2019,10,13
11/10/19,2019,10,14
11/11/19,2019,10,15
11/12/19,2019,10,16
11/13/19,2019,10,17
11/14/19,2019,10,18
11/15/19,2019,10,19
11/16/19,2019,10,20
11/17/19,2019,10,21
11/18/19,2019,10,22
11/19/19,2019,10,23
11/20/19,2019,10,24
11/21/19,2019,10,25
11/22/19,2019,10,26
11/23/19,2019,10,27
11/24/19,2019,10,28
11/25/19,2019,10,29
11/26/19,2019,11,1
11/27/19,2019,11,2
11/28/19,2019,11,3
11/29/19,2019,11,4
11/30/19,2019,11,5
12/01/19,2019,11,6
12/02/19,2019,11,7
12/03/19,2019,11,8
12/04/19,2019,11,9
12/05/19,2019,11,10
12/06/19,2019,11,11
12/07/19,2019,11,12
12/08/19,2019,11,13
12/09/19,2019,11,14
12/10/19,2019,11,15
12/11/19,2019,11,16
12/12/19,2019,11,17
12/13/19,2019,11,18
12/14/19,2019,11,19
12/15/19,2019,11,20
12/16/19,2019,11,21
12/17/19,2019,11,22
12/18/19,2019,11,23
12/19/19,2019,11,24
12/20/19,2019,11,25
12/21/19,2019,11,26
12/22/19,2019,11,27
12/23/19,2019,11,28
12/24/19,2019,11,29
12/25/19,2019,11,30
12/26/19,2019,12,1
12/27/19,2019,12,2
12/28/19,2019,12,3
12/29/19,2019,12,4
12/30/19,2019,12,5
12/31/19,2019,12,6
01/01/20,2019,12,7
01/02/20,2019,12,8
01/03/20,2019,12,9
01/04/20,2019,12,10
01/05/20,2019,12,11
01/06/20,2019,12,12
01/07/20,2019,12,13
01/08/20,2019,12,14
01/09/20,2019,12,15
01/10/20,2019,12,16
01/11/20,2019,12,17
01/12/20,2019,12,18
01/13/20,2019,12,19
01/14/20,2019,12,20
01/15/20,2019,12,21
01/16/20,2019,12,22
01/17/20,2019,12,23
01/18/20,2019,12,24
01/19/20,2019,12,25
01/20/20,2019,12,26
01/21/20,2019,12,27
01/22/20,2019,12,28
01/23/20,2019,12,29
01/24/20,2019,12,30
01/25/20,2020,1,1
01/26/20,2020,1,2
01/27/20,2020,1,3
01/28/20,2020,1,4
01/29/20,2020,1,5
01/30/20,2020,1,6
01/31/20,2020,1,7
02/01/20,2020,1,8
02/02/20,2020,1,9
02/03/20,2020,1,10
02/04/20,2020,1,11
02/05/20,2020,1,12
02/06/20,2020,1,13
02/07/20,2020,1,14
02/08/20,2020,1,15
02/09/20,2020,1,16
02/10/20,2020,1,17
02/11/20,2020,1,18
02/12/20,2020,1,19
02/13/20,2020,1,20
02/14/20,2020,1,21
02/15/20,2020,1,22
02/16/20,2020,1,23
02/17/20,2020,1,24
02/18/20,2020,1,25
02/19/20,2020,1,26
02/20/20,2020,1,27
02/21/20,2020,1,28
02/22/20,2020,1,29
02/23/20,2020,2,1
02/24/20,2020,2,2
02/25/20,2020,2,3
02/26/20,2020,2,4
02/27/20,2020,2,5
02/28/20,2020,2,6
02/29/20,2020,2,7
03/01/20,2020,2,8
03/02/20,2020,2,9
03/03/20,2020,2,10
03/04/20,2020,2,11
03/05/20,2020,2,12
03/06/20,2020,2,13
03/07/20,2020,2,14
03/08/20,2020,2,15
03/09/20,2020,2,16
03/10/20,2020,2,17
03/11/20,2020,2,18
03/12/20,2020,2,19
03/13/20,2020,2,20
03/14/20,2020,2,21
03/15/20,2020,2,22
03/16/20,2020,2,23
03/17/20,2020,2,24
03/18/20,2020,2,25
03/19/20,2020,2,26
03/20/20,2020,2,27
03/21/20,2020,2,28
03/22/20,2020,2,29
03/23/20,2020,2,30
03/24/20,2020,3,1
03/25/20,2020,3,2
03/26/20,2020,3,3
03/27/20,2020,3,4
03/28/20,2020,3,5
03/29/20,2020,3,6
03/30/20,2020,3,7
03/31/20,2020,3,8
04/01/20,2020,3,9
04/02/20,2020,3,10
04/03/20,2020,3,11
04/04/20,2020,3,12
04/05/20,2020,3,13
04/06/20,2020,3,14
04/07/20,2020,3,15
04/08/20,2020,3,16
04/09/20,2020,3,17
04/10/20,2020,3,18
04/11/20,2020,3,19
04/12/20,2020,3,20
04/13/20,2020,3,21
04/14/20,2020,3,22
04/15/20,2020,3,23
04/16/20,2020,3,24
04/17/20,2020,3,25
04/18/20,2020,3,26
04/19/20,2020,3,27
04/20/20,2020,3,28
04/21/20,2020,3,29
04/22/20,2020,3,30
04/23/20,2020,4,1
04/24/20,2020,4,2
04/25/20,2020,4,3
04/26/20,2020,4,4
04/27/20,2020,4,5
04/28/20,2020,4,6
04/29/20,2020,4,7
04/30/20,2020,4,8
05/01/20,2020,4,9
05/02/20,2020,4,10
05/03/20,2020,4,11
05/04/20,2020,4,12
05/05/20,2020,4,13
05/06/20,2020,4,14
05/07/20,2020,4,15
05/08/20,2020,4,16
05/09/20,2020,4,17
05/10/20,2020,4,18
05/11/20,2020,4,19
05/12/20,2020,4,20
05/13/20,2020,4,21
05/14/20,2020,4,22
05/15/20,2020,4,23
05/16/20,2020,4,24
05/17/20,2020,4,25
05/18/20,2020,4,26
05/19/20,2020,4,27
05/20/20,2020,4,28
05/21/20,2020,4,29
05/22/20,2020,4,30
05/23/20,2020,4,1
05/24/20,2020,4,2
05/25/20,2020,4,3
05/26/20,2020,4,4
05/27/20,2020,4,5
05/28/20,2020,4,6
05/29/20,2020,4,7
05/30/20,2020,4,8
05/31/20,2020,4,9
06/01/20,2020,4,10
06/02/20,2020,4,11
06/03/20,2020,4,12
06/04/20,2020,4,13
06/05/20,2020,4,14
06/06/20,2020,4,15
06/07/20,2020,4,16
06/08/20,2020,4,17
06/09/20,2020,4,18
06/10/20,2020,4,19
06/11/20,2020,4,20
06/12/20,2020,4,21
06/13/20,2020,4,22
06/14/20,2020,4,23
06/15/20,2020,4,24
06/16/20,2020,4,25
06/17/20,2020,4,26
06/18/20,2020,4,27
06/19/20,2020,4,28
06/20/20,2020,4,29
06/21/20,2020,5,1
06/22/20,2020,5,2
06/23/20,2020,5,3
06/24/20,2020,5,4
06/25/20,2020,5,5
06/26/20,2020,5,6
06/27/20,2020,5,7
06/28/20,2020,5,8
06/29/20,2020,5,9
06/30/20,2020,5,10
